,feature,coef
440,blurb__arena,-0.22514122963591462
441,blurb__arizona,-0.6080948390644562
442,blurb__arm,-0.12722063405749226
443,blurb__armies,-0.05145298666461318
444,blurb__armor,0.26973099416147417
445,blurb__arms,-0.0033408133584908444
446,blurb__army,0.5783499944625199
447,blurb__arrangements,0.45063031415552707
448,blurb__array,0.3180044633466819
449,blurb__art,0.10751456126773042
450,blurb__artbook,1.517298279994405
451,blurb__arte,0.21862951039932818
452,blurb__arthur,0.11978759901995716
453,blurb__articles,-0.34090038939460715
454,blurb__artifacts,0.2694617278640926
455,blurb__artificial,-0.2046260535900019
456,blurb__artisan,0.8058765550744557
457,blurb__artisans,0.5216881351488003
458,blurb__artist,0.13642578353985363
459,blurb__artistic,-0.5416600283921239
460,blurb__artists,0.6371490260993932
461,blurb__arts,0.2686066423892051
462,blurb__artwork,0.11997963256604913
463,blurb__artworks,0.024766837765560806
464,blurb__asia,0.4680903795135909
465,blurb__asian,1.1290217204035355
466,blurb__ask,-0.12804187214620324
467,blurb__asked,-0.3510824770696858
468,blurb__asking,-0.06654301434637094
469,blurb__asks,0.5583598656663433
470,blurb__aspects,-0.7008454653617981
471,blurb__aspiring,-0.7739187959419952
472,blurb__ass,0.346797774214856
473,blurb__assassin,-0.1693785959508811
474,blurb__assault,0.10857867625231085
475,blurb__assemble,-0.08590726834109183
476,blurb__assembled,0.6334491816832029
477,blurb__assembly,0.07187501990213131
478,blurb__assist,-0.9876162128986695
479,blurb__assistance,-0.19311323813439935
480,blurb__assistant,0.12126702572131254
481,blurb__athlete,-0.11946840125996137
482,blurb__athletes,-0.1610840856155612
483,blurb__athletic,0.16144341205843915
484,blurb__atlanta,0.5250611931515274
485,blurb__atmosphere,0.2126430182820049
486,blurb__att,0.5960413915030177
487,blurb__attach,-0.4851882773234233
488,blurb__attached,-0.6339180497628795
489,blurb__attaches,-0.7132890263802832
490,blurb__attachment,-0.855124726773118
491,blurb__attack,0.23688374340251686
492,blurb__attacks,-0.6111235191622794
493,blurb__attempt,0.10092453682176189
494,blurb__attempting,-1.3585515251002211
495,blurb__attempts,0.5312478231729043
496,blurb__attend,-0.019358102844143618
497,blurb__attention,-0.6919035671633998
498,blurb__attitude,0.2274996639040349
499,blurb__attractive,-0.4855906558723113
500,blurb__au,0.7361323864353185
501,blurb__audience,-0.4761607246095091
502,blurb__audiences,-0.04798178212303774
503,blurb__audio,0.43194824758178485
504,blurb__audiobook,0.6487135441206296
505,blurb__auf,-0.03127906152389376
506,blurb__augmented,0.6717479001202882
507,blurb__august,0.27571795969098656
508,blurb__aus,-0.4037987067425321
509,blurb__austin,1.6860402325117987
510,blurb__australia,0.16953285484065722
511,blurb__australian,0.11151749957400449
512,blurb__authentic,-0.532155618957405
513,blurb__author,-0.04371288727670032
514,blurb__authors,1.4164266582677358
515,blurb__autism,0.3115108850954289
516,blurb__autistic,0.11711518402239621
517,blurb__auto,1.0523705192925559
518,blurb__automated,-0.2828310971782171
519,blurb__automatic,0.19163946891860165
520,blurb__automatically,-0.28111233200967667
521,blurb__autumn,0.32071017451055384
522,blurb__av,0.7904020507352263
523,blurb__available,0.09554945815323099
524,blurb__avant,-0.4869953102903189
525,blurb__avec,-0.626440257344647
526,blurb__average,-0.8123011295100749
527,blurb__aviation,0.44913524753686845
528,blurb__avoid,-0.44917152855659476
529,blurb__await,0.033641753765006305
530,blurb__awaited,0.6697649423710212
531,blurb__awaits,-0.11059223405043626
532,blurb__awakening,0.44859027769218573
533,blurb__award,1.2341381068812183
534,blurb__awareness,-1.0079632507851959
535,blurb__away,0.02190329828455018
536,blurb__awesome,0.24282339307653927
537,blurb__awkward,0.09485824176159546
538,blurb__babies,-0.15358524268475585
539,blurb__baby,-0.2585670795285775
540,blurb__backed,1.110088647326575
541,blurb__backer,-0.06425016872184333
542,blurb__backers,-0.44561416049760955
543,blurb__background,-0.8266223082140843
544,blurb__backgrounds,-0.6493766793472168
545,blurb__backing,-0.4933450164014998
546,blurb__backpack,0.27228641621534616
547,blurb__backpacks,0.09183492091814059
548,blurb__backyard,0.4876430031997858
549,blurb__bacon,-0.8946853582398646
550,blurb__bad,-0.015391621311161584
551,blurb__badge,-0.04632727015586546
552,blurb__badges,0.2975674023752386
553,blurb__bag,0.3495884952088402
554,blurb__bags,-0.2902895622346122
555,blurb__bake,0.2731967509269577
556,blurb__baked,-0.3631128599016192
557,blurb__bakery,1.119003734640434
558,blurb__baking,0.14487329202348684
559,blurb__balance,0.1200578557296192
560,blurb__balanced,-0.3220685279582126
561,blurb__ball,-0.2163771058168583
562,blurb__ballet,-0.00656920989595464
563,blurb__balls,-0.7619105727008592
564,blurb__baltimore,0.4914619345308832
565,blurb__bamboo,0.46846142320804846
566,blurb__band,0.4826477759726482
567,blurb__bands,-0.534909039379994
568,blurb__bank,-0.19665329360754327
569,blurb__bar,0.4591819622770334
570,blurb__bars,0.27658661218691755
571,blurb__base,-0.08919717106799288
572,blurb__baseball,0.2049630463639294
573,blurb__based,-0.3336656322995495
574,blurb__bases,-0.4937993976855023
575,blurb__basic,-0.3743511841277213
576,blurb__basics,0.2996010023936648
577,blurb__basis,-0.4317011266809482
578,blurb__basketball,-0.22429828256728618
579,blurb__bass,-0.056021018283207664
580,blurb__bat,0.07831419251415758
581,blurb__batch,0.9317653568217722
582,blurb__bath,-0.43584342891836975
583,blurb__bathroom,0.3635203058769207
584,blurb__batteries,0.0777528104320572
585,blurb__battery,0.7537336516582878
586,blurb__battle,-0.2510988312138535
587,blurb__battlefield,0.1466392671997127
588,blurb__battles,0.33893955483871935
589,blurb__battling,0.07921630301305768
590,blurb__bay,0.07353851828913564
591,blurb__bbq,-1.1609791722856104
592,blurb__beach,0.09106976805820341
593,blurb__bean,-0.39749424051227455
594,blurb__beans,0.22254343332083984
595,blurb__bear,0.28866008695158596
596,blurb__beard,0.13463750168784458
597,blurb__bears,-0.3439950686617532
598,blurb__beast,0.10411348605920084
599,blurb__beasts,-0.12327500695054615
600,blurb__beat,-0.0011605026247946482
601,blurb__beats,-0.4259400443074638
602,blurb__beautiful,0.4443073410926601
603,blurb__beautifully,0.894608910293783
604,blurb__beauty,-0.48373354293511844
605,blurb__bed,-0.26360005056440516
606,blurb__bedtime,-0.5604014472470114
607,blurb__bee,0.17246233720320772
608,blurb__beef,-0.18128471685159223
609,blurb__beer,0.4425739139545077
610,blurb__beers,0.10164272354938471
611,blurb__bees,0.16034577162539634
612,blurb__began,0.3959525143750262
613,blurb__begin,-0.46060038741809367
614,blurb__beginner,-0.06601126230710921
615,blurb__beginners,-0.2376153950178522
616,blurb__beginning,-0.5946232141491735
617,blurb__begins,0.4552453879550931
618,blurb__behavior,-0.21975720181762817
619,blurb__beings,0.011099875816888453
620,blurb__belief,-0.024739555392377266
621,blurb__believe,-0.29738159897641087
622,blurb__believes,0.4155356950518695
623,blurb__beloved,1.3867096016265106
624,blurb__belt,0.30708393669973677
625,blurb__ben,1.1032181099959821
626,blurb__bending,0.5005858479414843
627,blurb__beneath,0.3552054935154782
